"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:5inDa3sWj8zqJBOdj7Bjqc","Hey Stupid, I Love You","spotify:artist:66W9LaWS0DPdL7Sz8iYGYe","JP Saxe","spotify:album:39VxwsWPa8KvcM8tIdKtp6","Hey Stupid, I Love You","spotify:artist:66W9LaWS0DPdL7Sz8iYGYe","JP Saxe","2020-06-25","https://i.scdn.co/image/ab67616d0000b2739a80008aef66fa8fdf79fcad","1","1","181000","https://p.scdn.co/mp3-preview/94dc7d334de5eb8b791c5a1736b578a076ecef24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:mr_shek","2022-02-08T07:42:50Z"
"spotify:track:2VkPfL3qQ2adxShD3rNvoV","good things take time","spotify:artist:7naAJDAh7AZnf18YYfQruM","Christian French","spotify:album:2mkkParuvbYcJOt2ofZLNl","good things take time","spotify:artist:7naAJDAh7AZnf18YYfQruM","Christian French","2020-09-18","https://i.scdn.co/image/ab67616d0000b27389cc022343590dc427691451","1","1","156506","https://p.scdn.co/mp3-preview/0538a1f4f1abd18352ba076f0ad3e3dc98116534?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","spotify:user:mr_shek","2022-02-08T07:43:15Z"
"spotify:track:6Dma0t0hOe6Bd6u5YRKF3n","No New Friends (feat. Sia, Diplo, and Labrinth)","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN, spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:2feDdbD5araYcm6JhFHHw7, spotify:artist:6IZ4ctovY9dl7bgHClAvKJ","Sia, Diplo, Labrinth, LSD","spotify:album:0ujHQ5WCLuKJQXOqXpGtpf","LABRINTH, SIA & DIPLO PRESENT... LSD","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN, spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:2feDdbD5araYcm6JhFHHw7","Sia, Diplo, Labrinth","2019-04-12","https://i.scdn.co/image/ab67616d0000b2733f159ae07dd556323f39f47b","1","7","175826","https://p.scdn.co/mp3-preview/23b982fbb296da99d1af28d031e8a0a5aaa1f67f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:mr_shek","2022-02-08T07:43:28Z"
"spotify:track:6cMswWRv4lAU3mh5lclgCc","Dreaming","spotify:artist:4iiQabGKtS2RtTKpVkrVTw","Smallpools","spotify:album:59xqFRG2IgFTsZtQ73yIp6","LOVETAP!","spotify:artist:4iiQabGKtS2RtTKpVkrVTw","Smallpools","2015-03-24","https://i.scdn.co/image/ab67616d0000b2736d49055f7bfb8268df9265b7","1","3","216253","https://p.scdn.co/mp3-preview/b61ff090589a27ac21bd95cf1ff07606c1a85f88?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","spotify:user:mr_shek","2022-02-08T07:43:51Z"
"spotify:track:0Zx8khUcEfCFK2AEoIhC92","Don't Leave","spotify:artist:2FwJwEswyIUAljqgjNSHgP, spotify:artist:0bdfiayQAKewqEvaU6rXCv","Snakehips, MØ","spotify:album:6buSUFSCXUIj3DOH3gUoRe","Don't Leave","spotify:artist:2FwJwEswyIUAljqgjNSHgP, spotify:artist:0bdfiayQAKewqEvaU6rXCv","Snakehips, MØ","2017-01-06","https://i.scdn.co/image/ab67616d0000b273b72a28b6f92b180a8a423e29","1","1","214693","https://p.scdn.co/mp3-preview/455b08f505b5efe28960ef506ad28a3235e450af?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","spotify:user:mr_shek","2022-02-08T07:44:11Z"
"spotify:track:2mlGPkAx4kwF8Df0GlScsC","Buttercup","spotify:artist:1vVHevk2PD45epYnDi9CCc","Jack Stauber","spotify:album:1RHa1VdX6lsLbeedgsV1cb","Pop Food","spotify:artist:1vVHevk2PD45epYnDi9CCc","Jack Stauber","2017-03-25","https://i.scdn.co/image/ab67616d0000b273f65bfa6478ec5f1895d37d8f","1","1","208026","https://p.scdn.co/mp3-preview/d1f5c58f327065613e76a6ebc7c8e1a6c3cd297d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","spotify:user:mr_shek","2022-02-08T07:44:23Z"
"spotify:track:1hSuulO4BKSmYe0aSWROPM","Love Is Alive","spotify:artist:7wg1qvie3KqDNQbAkTdbX0, spotify:artist:6wKxOKEA3K6R2UZ3COLXEY","Louis The Child, Elohim","spotify:album:5GH8Szn1e0Wb8RRriOoGGp","Love Is Alive","spotify:artist:7wg1qvie3KqDNQbAkTdbX0","Louis The Child","2017-01-27","https://i.scdn.co/image/ab67616d0000b273190849c3ed7806ed47074513","1","1","170610","https://p.scdn.co/mp3-preview/efa10bdededcb3dab5145dd519604d851dfbfee8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:mr_shek","2022-02-08T07:44:31Z"
"spotify:track:02MWAaffLxlfxAUY7c5dvx","Heat Waves","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","spotify:album:0KTj6k94XZh0c6IEMfxeWV","Dreamland (+ Bonus Levels)","spotify:artist:4yvcSjfu4PC0CYQyLy4wSq","Glass Animals","2020-08-06","https://i.scdn.co/image/ab67616d0000b2739e495fb707973f3390850eea","1","14","238805","https://p.scdn.co/mp3-preview/807fbead013f8f87d805b26224304c79d7f19091?cid=9950ac751e34487dbbe027c4fd7f8e99","false","94","spotify:user:mr_shek","2022-02-08T07:44:39Z"
"spotify:track:4kWO6O1BUXcZmaxitpVUwp","Jackie Chan","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z, spotify:artist:5vQfv3s2Z2SRdPZKr82ABw, spotify:artist:0bdJZl7TDeiymDYzMJnVh2, spotify:artist:246dkjvS1zLTtiykXe5h60","Tiësto, Dzeko, Preme, Post Malone","spotify:album:0vRcQquqBlFvnezWldWfmt","Jackie Chan","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z, spotify:artist:5vQfv3s2Z2SRdPZKr82ABw","Tiësto, Dzeko","2018-05-18","https://i.scdn.co/image/ab67616d0000b2738c5e26c45a7703cf16f509f7","1","1","215759","https://p.scdn.co/mp3-preview/f50972228ff4d51a25cd88a4d7896eabf5009e30?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","spotify:user:mr_shek","2022-02-08T07:44:48Z"
"spotify:track:1z1XegUChLLQfcbtIK8ABn","Body Back (feat. Maia Wright)","spotify:artist:2ZRQcIgzPCVaT9XKhXZIzh, spotify:artist:5qQFXHDOeYjiZVrCUO56Pk","Gryffin, Maia Wright","spotify:album:3VCPQRcHVxiVaePlQ6TwoF","Body Back (feat. Maia Wright)","spotify:artist:2ZRQcIgzPCVaT9XKhXZIzh","Gryffin","2019-10-18","https://i.scdn.co/image/ab67616d0000b273a2c3c702bdb4ad9ed5789fe5","1","1","214634","https://p.scdn.co/mp3-preview/1625618375f653a6d1740cac255d310b7f7149cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:mr_shek","2022-02-08T07:44:57Z"
"spotify:track:2zh01m4PiHaZz4BAm0NRxs","Tie Me Down (with Elley Duhé)","spotify:artist:2ZRQcIgzPCVaT9XKhXZIzh, spotify:artist:67MNhiAICFY6Pwc2YxCO0K","Gryffin, Elley Duhé","spotify:album:2IAVHJdaRPFA6MQqXHoG75","Gravity","spotify:artist:2ZRQcIgzPCVaT9XKhXZIzh","Gryffin","2019-10-24","https://i.scdn.co/image/ab67616d0000b2730e5311993a01fb2e7169f6a7","1","4","218239","https://p.scdn.co/mp3-preview/fcec7c9ebc666b76616581b8ba5bed83f7e85ee5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","spotify:user:mr_shek","2022-02-08T07:45:05Z"
"spotify:track:3PWKPX3YJAHBL8JozsWTMC","Your Side Of The Bed","spotify:artist:00TKPo9MxwZ0j4ooveIxWZ","Loote","spotify:album:6XeL8rkWXe5pUdg2uGqmak","single.","spotify:artist:00TKPo9MxwZ0j4ooveIxWZ","Loote","2018-06-15","https://i.scdn.co/image/ab67616d0000b2739782b5b322527845ea830273","1","1","197146","https://p.scdn.co/mp3-preview/a5e787fc4f052e8bf1ad9edcf9848adc864336f4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","spotify:user:mr_shek","2022-02-08T07:45:13Z"
"spotify:track:5teOR8KU4XNWY2WlVUDiIR","85%","spotify:artist:00TKPo9MxwZ0j4ooveIxWZ, spotify:artist:3iri9nBFs9e4wN7PLIetAw","Loote, Garrett Nash","spotify:album:0hc021mB0QDSF4uCTr3Ki7","lost","spotify:artist:00TKPo9MxwZ0j4ooveIxWZ","Loote","2019-06-14","https://i.scdn.co/image/ab67616d0000b2733b524e973b13737390949a4f","1","2","174106","https://p.scdn.co/mp3-preview/f0cfee667bca71a64a31521463a82c3b0424358a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:mr_shek","2022-02-08T07:45:23Z"
"spotify:track:1hPwlWlrGzcavwBCcS2gDD","Longer Than I Thought (feat. Joe Jonas)","spotify:artist:00TKPo9MxwZ0j4ooveIxWZ, spotify:artist:7gbmX8SsfjEjxDMzBi1ZOL","Loote, Joe Jonas","spotify:album:6XeL8rkWXe5pUdg2uGqmak","single.","spotify:artist:00TKPo9MxwZ0j4ooveIxWZ","Loote","2018-06-15","https://i.scdn.co/image/ab67616d0000b2739782b5b322527845ea830273","1","3","215826","https://p.scdn.co/mp3-preview/c033f55f7b473b203bd950ee5aabae7fa9b930c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","spotify:user:mr_shek","2022-02-08T07:45:31Z"
